K,Num Rotations,Num Shifts,Num Shells,Num Sectors,Rotation Angle,Solver,Consensus NClass,Theta,Epsilon,Th_dist,Dist_max,NMI,Runtime
9,4,2,2,3,30,nmf,6,0.01,0.001,5,1000,0.7080513405079861,47.587502241134644
9,4,2,2,3,30,nmf,6,0.01,0.001,15,1000,0.5466294269035079,51.43656086921692
9,4,2,4,3,30,cspa,9,0.01,0.001,2,1000,0.8381737799830589,116.47505807876587
9,4,2,4,3,30,cspa,9,0.01,0.001,5,1000,0.603962433003439,133.45447087287903
9,4,2,4,3,30,cspa,9,0.01,0.001,15,1000,0.36110337475677384,160.837877035141
9,4,2,4,3,30,cspa,6,0.01,0.001,2,1000,0.6657538705664392,105.1447160243988
9,4,2,4,3,30,cspa,6,0.01,0.001,5,1000,0.659301420478346,124.15929985046387
9,4,2,4,3,30,cspa,6,0.01,0.001,15,1000,0.4496358763785558,165.08386301994324
9,4,2,4,3,30,mcla,9,0.01,0.001,2,1000,0.8063183850853136,37.53507089614868
9,4,2,4,3,30,mcla,9,0.01,0.001,5,1000,0.6627922649034981,37.779417276382446
9,4,2,4,3,30,mcla,9,0.01,0.001,15,1000,0.4580870078685087,37.840315103530884
9,4,2,4,3,30,mcla,6,0.01,0.001,2,1000,0.8431872659305806,37.292465925216675
9,4,2,4,3,30,mcla,6,0.01,0.001,5,1000,0.49496043745358526,37.550585985183716
9,4,2,4,3,30,mcla,6,0.01,0.001,15,1000,0.4487020565481236,38.026938676834106
9,4,2,4,3,30,hbgf,9,0.01,0.001,2,1000,0.6165316786627975,37.32424712181091
9,4,2,4,3,30,hbgf,9,0.01,0.001,5,1000,0.4686597154393389,38.45889687538147
9,4,2,4,3,30,hbgf,9,0.01,0.001,15,1000,0.34961972699450267,38.36960005760193
9,4,2,4,3,30,hbgf,6,0.01,0.001,2,1000,0.7388484140003478,38.02551984786987
9,4,2,4,3,30,hbgf,6,0.01,0.001,5,1000,0.548000313087216,37.548611879348755
9,4,2,4,3,30,hbgf,6,0.01,0.001,15,1000,0.39451771105968764,37.75847601890564
9,4,2,4,3,30,nmf,9,0.01,0.001,2,1000,0.7634053361252575,45.420490980148315
9,4,2,4,3,30,nmf,9,0.01,0.001,5,1000,0.8102077437725538,48.84640908241272
9,4,2,4,3,30,nmf,9,0.01,0.001,15,1000,0.4345290240292501,52.31329083442688
9,4,2,4,3,30,nmf,6,0.01,0.001,2,1000,0.7588633540105046,46.00827169418335
9,4,2,4,3,30,nmf,6,0.01,0.001,5,1000,0.7181801774150758,47.691864013671875
9,4,2,4,3,30,nmf,6,0.01,0.001,15,1000,0.4099288699349658,48.76236295700073
