K,Num Rotations,Num Shifts,Num Shells,Num Sectors,Rotation Angle,Solver,Consensus NClass,Theta,Epsilon,Th_dist,Dist_max,NMI,Runtime
9,2,2,2,3,30,nmf,9,0.01,0.001,45.0,1000,0.4008001469573101,3.313481330871582
9,2,2,2,3,30,nmf,9,0.01,0.001,,1000,0.4008001469573101,3.356092929840088
9,2,2,2,3,30,nmf,9,0.01,0.0001,5.0,1000,0.5686478775841497,3.4626989364624023
9,2,2,2,3,30,nmf,9,0.01,0.0001,15.0,1000,0.27945965591972705,3.54974627494812
9,2,2,2,3,30,nmf,9,0.01,0.0001,25.0,1000,0.35319866748478296,3.463451862335205
9,2,2,2,3,30,nmf,9,0.01,0.0001,45.0,1000,0.40641971263957427,3.371562957763672
9,2,2,2,3,30,nmf,9,0.01,0.0001,,1000,0.40641971263957427,3.5154500007629395
9,2,2,2,3,30,nmf,9,0.001,0.001,5.0,1000,0.5685534525241178,3.4163239002227783
9,2,2,2,3,30,nmf,9,0.001,0.001,15.0,1000,0.2958987457764972,3.3874969482421875
9,2,2,2,3,30,nmf,9,0.001,0.001,25.0,1000,0.24246225293873813,3.2167088985443115
9,2,2,2,3,30,nmf,9,0.001,0.001,45.0,1000,0.341894739312349,3.121964931488037
9,2,2,2,3,30,nmf,9,0.001,0.001,,1000,0.341894739312349,3.1867570877075195
9,2,2,2,3,30,nmf,9,0.001,0.0001,5.0,1000,0.3323580495126198,3.460416078567505
9,2,2,2,3,30,nmf,9,0.001,0.0001,15.0,1000,0.08472260302571578,2.8268020153045654
9,2,2,2,3,30,nmf,9,0.001,0.0001,25.0,1000,0.053121724181493975,2.7315127849578857
9,2,2,2,3,30,nmf,9,0.001,0.0001,45.0,1000,0.19222685094122166,3.2778618335723877
9,2,2,2,3,30,nmf,9,0.001,0.0001,,1000,0.19222685094122166,3.30456805229187
9,2,2,2,3,30,nmf,6,0.01,0.001,5.0,1000,0.612333501215703,3.4509451389312744
9,2,2,2,3,30,nmf,6,0.01,0.001,15.0,1000,0.2945934126336454,3.4680466651916504
9,2,2,2,3,30,nmf,6,0.01,0.001,25.0,1000,0.4104306701452643,3.7088451385498047
9,2,2,2,3,30,nmf,6,0.01,0.001,45.0,1000,0.44833957798486906,3.248908758163452
9,2,2,2,3,30,nmf,6,0.01,0.001,,1000,0.44833957798486906,3.4942970275878906
9,2,2,2,3,30,nmf,6,0.01,0.0001,5.0,1000,0.6802922579612346,3.4259400367736816
9,2,2,2,3,30,nmf,6,0.01,0.0001,15.0,1000,0.2858937458665027,3.5393269062042236
9,2,2,2,3,30,nmf,6,0.01,0.0001,25.0,1000,0.40231220328007744,3.8128600120544434
9,2,2,2,3,30,nmf,6,0.01,0.0001,45.0,1000,0.46001959973140627,3.479573965072632
9,2,2,2,3,30,nmf,6,0.01,0.0001,,1000,0.46001959973140627,3.6620888710021973
9,2,2,2,3,30,nmf,6,0.001,0.001,5.0,1000,0.552718563958337,3.112828016281128
9,2,2,2,3,30,nmf,6,0.001,0.001,15.0,1000,0.2921595787213658,3.4616971015930176
9,2,2,2,3,30,nmf,6,0.001,0.001,25.0,1000,0.28485729027199413,3.3276147842407227
9,2,2,2,3,30,nmf,6,0.001,0.001,45.0,1000,0.36047472215899984,3.289820909500122
9,2,2,2,3,30,nmf,6,0.001,0.001,,1000,0.36047472215899984,3.3890421390533447
9,2,2,2,3,30,nmf,6,0.001,0.0001,5.0,1000,0.45808781226291073,3.233288288116455
9,2,2,2,3,30,nmf,6,0.001,0.0001,15.0,1000,0.03194190830935547,2.9193472862243652
9,2,2,2,3,30,nmf,6,0.001,0.0001,25.0,1000,0.022480348037270566,2.922553062438965
9,2,2,2,3,30,nmf,6,0.001,0.0001,45.0,1000,0.2654376677561609,3.18599796295166
9,2,2,2,3,30,nmf,6,0.001,0.0001,,1000,0.2654376677561609,3.3321001529693604
9,2,2,4,3,30,cspa,9,0.01,0.001,5.0,1000,0.4183030737186153,5.439541816711426
9,2,2,4,3,30,cspa,9,0.01,0.001,15.0,1000,0.2593266249856708,6.382231950759888
9,2,2,4,3,30,cspa,9,0.01,0.001,25.0,1000,0.285735865254894,6.317041873931885
9,2,2,4,3,30,cspa,9,0.01,0.001,45.0,1000,0.2919442157185848,5.604704856872559
9,2,2,4,3,30,cspa,9,0.01,0.001,,1000,0.27835193810509495,5.629661798477173
9,2,2,4,3,30,cspa,9,0.01,0.0001,5.0,1000,0.5347137045526161,6.027765989303589
9,2,2,4,3,30,cspa,9,0.01,0.0001,15.0,1000,0.24841686663877008,5.96855092048645
9,2,2,4,3,30,cspa,9,0.01,0.0001,25.0,1000,0.2752773316474131,6.232931137084961
9,2,2,4,3,30,cspa,9,0.01,0.0001,45.0,1000,0.28584164226969117,5.75711989402771
9,2,2,4,3,30,cspa,9,0.01,0.0001,,1000,0.2867439244242882,6.146152973175049
9,2,2,4,3,30,cspa,9,0.001,0.001,5.0,1000,0.4626477539890194,6.06768012046814
9,2,2,4,3,30,cspa,9,0.001,0.001,15.0,1000,0.26560542842735096,5.916481018066406
9,2,2,4,3,30,cspa,9,0.001,0.001,25.0,1000,0.2457996218462932,6.16320013999939
9,2,2,4,3,30,cspa,9,0.001,0.001,45.0,1000,0.27875022359311774,5.663100004196167
9,2,2,4,3,30,cspa,9,0.001,0.001,,1000,0.2827585495372249,5.541131019592285
9,2,2,4,3,30,cspa,9,0.001,0.0001,5.0,1000,0.3766681834720736,5.246693134307861
9,2,2,4,3,30,cspa,9,0.001,0.0001,15.0,1000,0.03959051485543469,4.425662994384766
9,2,2,4,3,30,cspa,9,0.001,0.0001,25.0,1000,0.039018162701414436,4.588976144790649
9,2,2,4,3,30,cspa,9,0.001,0.0001,45.0,1000,0.24586750139875652,6.1895458698272705
9,2,2,4,3,30,cspa,9,0.001,0.0001,,1000,0.2299906299309912,6.075430154800415
9,2,2,4,3,30,cspa,6,0.01,0.001,5.0,1000,0.4658620242367329,5.613004207611084
